contract_id,instrument,baseline_date,baseline_value,unit,currency,source,note
CON-2023-0001,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0001,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0001,BRENT,2023-01-01,83.1,USD/bbl,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0002,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0002,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0002,BRENT,2023-01-01,83.1,USD/bbl,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0003,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0003,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0003,MAIZE,2023-01-01,302.8,USD/t,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0004,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0004,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0005,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0005,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0006,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0006,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0006,BRENT,2023-01-01,83.1,USD/bbl,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0007,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0007,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0008,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0008,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0009,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0009,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0009,BRENT,2023-01-01,83.1,USD/bbl,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0010,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0010,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0010,BRENT,2023-01-01,83.1,USD/bbl,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0011,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0011,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0012,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0012,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0012,MAIZE,2023-01-01,302.8,USD/t,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0013,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0013,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0013,BRENT,2023-01-01,83.1,USD/bbl,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0014,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0014,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0015,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0015,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0016,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0016,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0017,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0017,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0018,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0018,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0019,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0019,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0020,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0020,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0021,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0021,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0022,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0022,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0023,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0023,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0024,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
CON-2023-0024,NATURAL_GAS_EU,2023-01-01,20.18,USD/mmbtu,USD,WORLD_BANK,shared_2023_01_proxy
CON-2023-0025,EURUSD,2023-01-02,1.0683,USD/EUR,USD,ECB,shared_2023_01_proxy
