product_name,energy_instrument,raw_material_instrument,freight_instrument
Acetone,NATURAL_GAS_EU,BRENT,UNMAPPED
Acrylic Acid,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Acrylonitrile Butadiene Styrene,NATURAL_GAS_EU,BRENT,UNMAPPED
Adipic Acid,NATURAL_GAS_EU,BRENT,UNMAPPED
Aluminium Sulfate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Ammonium Bicarbonate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Ammonium Nitrate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Anhydrous Ammonia,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Aniline,NATURAL_GAS_EU,BRENT,UNMAPPED
Argon,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Benzene,NATURAL_GAS_EU,BRENT,UNMAPPED
Benzoic Acid,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Bio-Naphtha,NATURAL_GAS_EU,BRENT,UNMAPPED
Calcium Chloride,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Calcium Nitrate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Caprolactam,NATURAL_GAS_EU,BRENT,UNMAPPED
Carbon Black N330,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Caustic Soda,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Caustic Soda Flake,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Chlorhexidine,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Chlorine,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Chloroform,NATURAL_GAS_EU,BRENT,UNMAPPED
Citric Acid,NATURAL_GAS_EU,MAIZE,UNMAPPED
Cobalt Sulfate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Diethylene Glycol,NATURAL_GAS_EU,BRENT,UNMAPPED
Epoxy Hardener,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Epoxy Resins,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Ethanol,NATURAL_GAS_EU,MAIZE,UNMAPPED
Ethyl Acetate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Food-Grade CO2,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
